source_id,record_type,status,priority,provider,title,description,urls_canonical,urls_landing,urls_api,urls_download,urls_related,rights_basis,license_expression,commercial_use_allowed,derivatives_allowed,scan_redistribution_allowed,attribution_required,rights_evidence_text,rights_terms_url,rights_verification_status,rights_verified_at,scope_date_range,scope_languages,scope_document_types,scope_creator_names,scope_expected_handwriting,scope_estimated_scan_count,ingest_method,ingest_access_notes,ingest_agent_notes,ingest_blocked_reason,evidence_count
commons__begani_netatikha,item,verified,seed,Wikimedia Commons,BeGani Netatikha handwritten manuscript,"One-page handwritten Hebrew manuscript scan of Rachel Bluwstein's poem BeGani Netatikha, dated 1930 and hosted on Wikimedia Commons from the National Library of Israel.",https://commons.wikimedia.org/wiki/File:BeGani_Netatikha.jpg,https://web.nli.org.il/sites/NLI/Hebrew/digitallibrary/pages/viewer.aspx?docid=NNL03_EDU700291626&presentorid=NLI_EDU,https://commons.wikimedia.org/w/api.php?action=query&titles=File:BeGani_Netatikha.jpg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/6/6e/BeGani_Netatikha.jpg,,public_domain,PDM-1.0,true,true,true,false,Commons marks the scan and original as public domain and identifies the file as free of known copyright restrictions.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1930,he,poem,Rachel Bluwstein,yes,1,manual_download,"Downloaded the Commons original JPEG and recorded its checksum, size, and dimensions at entry level.",This is a small but clean first verified Hebrew-language handwritten scan entry.,,2
commons__bialik_el_hazippor,item,verified,high,Wikimedia Commons,Bialik handwritten manuscript: 'El Ha-Tzippor' (1892),"Handwritten Hebrew manuscript of Hayyim Nahman Bialik's early poem 'El Ha-Tzippor' (To the Bird), dated 1892. Pre-dates the project's preferred post-1929 scope but is cleanly public domain (Bialik d. 1934).",https://commons.wikimedia.org/wiki/File:El_hazippor.jpg,,https://commons.wikimedia.org/w/api.php?action=query&titles=File:El_hazippor.jpg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/9/9a/El_hazippor.jpg,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1892,he,poem,Hayyim Nahman Bialik,yes,1,manual_download,Downloaded original Commons JPEG.,19th-century Hebrew handwriting style; differs from modern Israeli cursive — flag in quality.notes.,,1
commons__bialik_letter_safed_1927,item,verified,seed,Wikimedia Commons,Bialik letter to Jerusalem institutions about Safed initiative (1927),"Multi-page handwritten Hebrew letter by Hayyim Nahman Bialik to Jerusalem institutions following his stay in Safed and his initiative to build in Safed, dated 1927. Hosted on Wikimedia Commons via the Bitmuna Archive (collaboration with Wikimedia Israel).",https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3552.jpeg,,https://commons.wikimedia.org/w/api.php?action=query&titles=File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3552.jpeg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/7/77/%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3552.jpeg,https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3553.jpeg; https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%99%D7%90%D7%9C%D7%99%D7%A7_%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%97%D7%A8_%D7%A9%D7%94%D7%95%D7%AA%D7%95_%D7%91%D7%A9%D7%A4%D7%99%D7%94_%D7%95%D7%A9%D7%99%D7%A8%D7%95_%D7%9C%D7%91%D7%A0%D7%95%D7%AA_%D7%A9%D7%A4%D7%99%D7%94_1927_-_btm3554.jpeg,public_domain,LicenseRef-Public-Domain-Israel,true,true,true,false,This work or image is now in the public domain because its term of copyright has expired in Israel.,,primary_page_checked,2026-05-09,1927,he,letter,Hayyim Nahman Bialik,yes,3,manual_download,"Downloaded the original Commons JPEGs for all 3 pages of the letter (btm3552, btm3553, btm3554).",All three pages of the letter ingested as p0001/p0002/p0003 of this source.,,1
commons__blazer_letter_grayevsky_1905,item,verified,high,Wikimedia Commons,Yitzchak Blazer letter of commendation to Rabbi Y. A. Grayevsky (4 May 1905),"Single-page handwritten Hebrew letter of commendation by Yitzchak Blazer (Itzele Petersburger, 1837-1907) to Rabbi Yaakov Asher HaLevi Grayevsky, dated 4 May 1905. Source: Yad Ben Zvi via Commons.",https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%A9%D7%91%D7%97%D7%99%D7%9D_%D7%A9%D7%9C_%D7%99%D7%A6%D7%97%D7%A7_%D7%91%D7%9C%D7%90%D7%96%D7%A8_%D7%9C%D7%A8%D7%91_%D7%99%D7%A2%D7%A7%D7%91_%D7%90%D7%A9%D7%A8_%D7%94%D7%9C%D7%95%D7%99_%D7%92%D7%A8%D7%99%D7%99%D7%91%D7%A1%D7%A7%D7%99.jpg,,,https://upload.wikimedia.org/wikipedia/commons/6/66/%D7%9E%D7%9B%D7%AA%D7%91_%D7%A9%D7%91%D7%97%D7%99%D7%9D_%D7%A9%D7%9C_%D7%99%D7%A6%D7%97%D7%A7_%D7%91%D7%9C%D7%90%D7%96%D7%A8_%D7%9C%D7%A8%D7%91_%D7%99%D7%A2%D7%A7%D7%91_%D7%90%D7%A9%D7%A8_%D7%94%D7%9C%D7%95%D7%99_%D7%92%D7%A8%D7%99%D7%99%D7%91%D7%A1%D7%A7%D7%99.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1907, so this work is in the public domain in its country of origin and other countries where the copyright term is the author's life plus 100 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1905,he,letter,Yitzchak Blazer,yes,1,manual_download,Downloaded original Commons JPEG.,Lithuanian Mussar tradition; Yad Ben-Zvi provenance.,,1
commons__bodleian_geniza_ms_heb_d_41_4b,item,verified,medium,Wikimedia Commons,"Bodleian Cairo Geniza fragment MS Heb. d. 41, fol. 4b","High-resolution scan of one folio (4b) from a Cairo Geniza miscellany held at the Bodleian Libraries, Oxford (shelf-mark MS Heb. d. 41). Medieval Hebrew handwriting in oriental cursive; date unverified beyond 'medieval'.",https://commons.wikimedia.org/wiki/File:MS_HEB_d_41_4b_(2).jpg,https://commons.wikimedia.org/wiki/File:MS_HEB_d_41_4b_(2).jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,10th-12th century,he,notebook,Unknown medieval scribe,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__bodleian_geniza_ms_heb_e_39_78b,item,verified,medium,Wikimedia Commons,"Bodleian Cairo Geniza fragment MS Heb. e. 39, fol. 78b",Hebrew codex leaf (fol. 78b) from a Bodleian Cairo Geniza miscellany (MS Heb. e. 39); medieval Hebrew cursive used for a poetic or homiletic text.,https://commons.wikimedia.org/wiki/File:Ms._Heb._e._39.78b.jpg,https://commons.wikimedia.org/wiki/File:Ms._Heb._e._39.78b.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,10th-12th century,he,notebook,Unknown medieval scribe,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__chaim_berlin_halachic_response_1894,item,verified,high,Wikimedia Commons,Halachic response of Chaim Berlin (1894),"Handwritten Hebrew responsum draft involving Rabbi Chaim Berlin (1832-1912) and Moses Nahum Jerusalimski (1855-1916), dated 1894. Two-hand manuscript.",https://commons.wikimedia.org/wiki/File:Halachic_response_of_Chaim_Berlin._1894.jpg,,https://commons.wikimedia.org/w/api.php?action=query&titles=File:Halachic_response_of_Chaim_Berlin._1894.jpg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/6/66/Halachic_response_of_Chaim_Berlin._1894.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1916, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1894,he,draft,Chaim Berlin; Moses Nahum Jerusalimski,yes,1,manual_download,Downloaded original Commons JPEG.,Two-hand manuscript — flag handwriting.notes.,,1
commons__chaim_berlin_letter_kollels_1890,item,verified,medium,Wikimedia Commons,Chaim Berlin letter to the Committee of all Kollels (1890),"Single-page handwritten Hebrew letter by Rabbi Chaim Berlin (1832-1912) to the Committee of all Kollels, dated 1890.",https://commons.wikimedia.org/wiki/File:A_letter_from_Chaim_Berlin_to_the_Committee_of_all_Kollels._1890.jpg,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/A_letter_from_Chaim_Berlin_to_the_Committee_of_all_Kollels._1890.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1912, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1890,he,letter,Chaim Berlin,yes,1,manual_download,Downloaded original Commons JPEG.,Companion to existing commons__chaim_berlin_halachic_response_1894 source.,,1
commons__chief_rabbinate_letter_1921,item,verified,high,Wikimedia Commons,Chief Rabbinate proclamation by Rav Kook (1921),"Handwritten Hebrew proclamation by Rabbi Abraham Isaac Kook in his Chief Rabbinate role, dated 1921 (5681). Different document type from his personal correspondence.",https://commons.wikimedia.org/wiki/File:ChiefRabbinate1922Letter.jpg,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/ChiefRabbinate1922Letter.jpg,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1921,he,other,Abraham Isaac Kook,yes,1,manual_download,Downloaded original Commons JPEG (filename says '1922' but the file dates the document to 5681 = 1921).,Proclamation document type differs from personal correspondence; recorded under 'other'.,,1
commons__chushiel_letter_geniza,item,verified,medium,Wikimedia Commons,"Letter of Hushiel ben Elhanan (Cairo Geniza facsimile, 1906 Jewish Encyclopedia)","Facsimile of the well-known Cairo Geniza letter by Rabbi Hushiel ben Elhanan (d. c. 1027), recounting the 'Four Captives' tradition. Reproduction comes from the 1906 Jewish Encyclopedia and is in the public domain by virtue of that publication.",https://commons.wikimedia.org/wiki/File:Chushiel_letter.jpg,https://commons.wikimedia.org/wiki/File:Chushiel_letter.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This image is in the public domain because it was part of Jewish Encyclopedia (1901–1906). The copyrights for that book have expired and this image is in the public domain.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1000,he,letter,Hushiel ben Elhanan,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__damascus_pentateuch_ms_heb_8_7088,item,verified,medium,Wikimedia Commons,"Damascus Pentateuch corpus, NLI Ms. Heb. 8°7088 (two-page spread, p. 16)","Two-page spread from a 14th-century Hebrew Pentateuch manuscript in the Damascus Pentateuch corpus at the National Library of Israel (Ms. Heb. 8°7088, p. 16). Oriental square script with vocalisation.",https://commons.wikimedia.org/wiki/File:Damascus_Pentateuch_8%C2%B07088_p.16.jpg,https://commons.wikimedia.org/wiki/File:Damascus_Pentateuch_8%C2%B07088_p.16.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,14th century,he,notebook,Unknown 14th-century scribe,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__epstein_meltzer_letter_about_kook,item,verified,high,Wikimedia Commons,Joint letter of Rabbis Epstein and Meltzer supporting Rav Kook,High-resolution handwritten Hebrew joint letter by Rabbis Moshe Mordechai Epstein (d. 1933) and Isser Zalman Meltzer (d. 1953) in support of Rav Kook. PD-old-70 clears as of 2024 (Meltzer life+70).,https://commons.wikimedia.org/wiki/File:RavEpsteinandRavMeltzer.jpg,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/RavEpsteinandRavMeltzer.jpg,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,before 1933,he,letter,Moshe Mordechai Epstein; Isser Zalman Meltzer,yes,1,manual_download,Downloaded original Commons JPEG (1920x2669 high-resolution).,Two-author letter; PD basis bounded by Meltzer's death year (1953).,,1
commons__geniza_education_ts_k5_13,item,verified,medium,Wikimedia Commons,Cairo Geniza writing-exercise leaf with menorah panel (T-S K5.13),Cairo Geniza leaf (Cambridge Taylor-Schechter K5.13) with a decorated alphabet writing exercise on one side and a coloured menorah-and-arch drawing on the other. Used by Cambridge as a classic Geniza pedagogical artefact.,https://commons.wikimedia.org/wiki/File:Education_(T-S_K5.13).jpg,https://commons.wikimedia.org/wiki/File:Education_(T-S_K5.13).jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,10th-12th century,he,notebook,Unknown Geniza teacher or pupil,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__grodzinski_letter_about_kook,item,verified,high,Wikimedia Commons,Letter of Rav Chaim Ozer Grodzinski about Rav Kook,Handwritten Hebrew letter by Rabbi Chaim Ozer Grodzinski (1863-1940) of Vilna regarding Rav Kook. Written before 1936.,https://commons.wikimedia.org/wiki/File:Letter_of_Rav_Chaim_Ozer_Grodzinsky_About_Rav_Kook.jpg,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Letter_of_Rav_Chaim_Ozer_Grodzinsky_About_Rav_Kook.jpg,,public_domain,LicenseRef-Public-Domain-Israel,true,true,true,false,This work or image is now in the public domain because its term of copyright has expired in Israel.,,primary_page_checked,2026-05-11,before 1936,he,letter,Chaim Ozer Grodzinski,yes,1,manual_download,Downloaded original Commons JPEG.,File page omits death year (Grodzinski d. 1940 externally documented); PD-Israel claim verified on primary page.,,1
commons__halper113_midrash_david_colophon,item,verified,high,Wikimedia Commons,Halper 113 Cairo Geniza colophon: Midrash David on Genesis (1299),"Cairo Geniza leaf containing the dated colophon (1299) of Midrash David on Genesis, signed by David ben Abraham Maimuni (1222/3-1300), grandson of Maimonides. Penn Halper 113.","https://commons.wikimedia.org/wiki/File:Halper_113_Midrash_David_on_Genesis,_colophon,_Cairo_Geniza.jpg","https://commons.wikimedia.org/wiki/File:Halper_113_Midrash_David_on_Genesis,_colophon,_Cairo_Geniza.jpg",,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1299,he,marginalia,David ben Abraham Maimuni,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__halper462_exilarch_genealogy,item,verified,medium,Wikimedia Commons,Halper 462 Cairo Geniza genealogy of the Exilarchs (12th century),"Cairo Geniza leaf compiling the genealogy of the Babylonian Exilarchs back to King David and Adam, written by Avraham ben Tamim al-Rahbi in the 12th century. Penn Halper 462.","https://commons.wikimedia.org/wiki/File:Halper_462_Genealogy_of_the_Exilarchs_to_David_and_Adam,_Cairo_Geniza.jpg","https://commons.wikimedia.org/wiki/File:Halper_462_Genealogy_of_the_Exilarchs_to_David_and_Adam,_Cairo_Geniza.jpg",,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,12th century,he,other,Avraham ben Tamim al-Rahbi,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__hatikvah_imber_manuscript,item,verified,high,Wikimedia Commons,Naftali Herz Imber's handwritten 'Hatikvah' manuscript (1907-1908),"Handwritten Hebrew manuscript of the first stanza and chorus of 'Hatikvah' by Naftali Herz Imber (d. 1909), with author signature, dated September 1907 - September 1908.",https://commons.wikimedia.org/wiki/File:Hatikvah.jpg,,https://commons.wikimedia.org/w/api.php?action=query&titles=File:Hatikvah.jpg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/5/59/Hatikvah.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1909, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1907-1908,he,poem,Naftali Herz Imber,yes,1,manual_download,Downloaded original Commons JPEG.,Short excerpt (first stanza + chorus + signature); flag length in quality.notes.,,1
